code,name,category,properties,day_price
COMA0014,Follow-Me 3D Track-it extension tag Set [10 tags],LIGHT,,350.00
COMA0015,Follow-Me 3D Track-it Anchor Set [4 Anchors],LIGHT,,225.00
LIPR0052,"CLF - LEDKO Profile Daylight LED, CW, 5600K 2-6",LIGHT,,55.00
LIPR0054,"CLF - LEDKO Profile V2, Full Spectrum ETL LED, RGBW, 3200K-10000K 2-6",LIGHT,,62.50
LIPR0030,"ETC - S4 LED Series 2 Daylight HD LED, CW, 4000K-6500K 2-6",LIGHT,,60.00
LIPR0031,"ETC - S4 LED Series 2 Lustr CMY HD LED, CMY, 2200K-6500K 2-6",LIGHT,,75.00
LIPR0028,"ETC - S4 LED Series 3 Lustr X8 LED, DR-RGB-A-L-I-C , 1900-10450K",LIGHT,,90.00
LIPR0068,ETC - S4 Lenstube / 15-30° zoom,LIGHT,,10.00
LIPR0069,ETC - S4 Lenstube / 25-50° zoom,LIGHT,,12.50
LIPR0073,ETC - S4 EDLT Lenstube / 19°,LIGHT,,8.50
LIPR0074,ETC - S4 EDLT Lenstube / 26°,LIGHT,,8.50
LIPR0075,ETC - S4 EDLT Lenstube / 36°,LIGHT,,8.50
LIPR0079,ETC - S4 EDLT Lenstube CYC adapter,LIGHT,,10.00
LIPR0088,ETC - S4 junior Profile 575W / 25°-50° zoom halo,LIGHT,,12.50
LIPR0106,ETC - S4 Profile 750W / 15-30° zoom halo,LIGHT,,17.50
LIPR0108,ETC - S4 Profile 750W / 25-50° zoom halo,LIGHT,,17.50
LIPR0097,ETC - S4 Profile 750W / 5° halo,LIGHT,,30.00
LIPR0099,ETC - S4 Profile 750W / 10° halo,LIGHT,,22.50
LIPR0100,ETC - S4 Profile 750W / 14° halo,LIGHT,,17.50
LIPR0101,ETC - S4 Profile 750W / 19° halo,LIGHT,,15.00
LIPR0102,ETC - S4 Profile 750W / 26° halo,LIGHT,,15.00
LIPR0104,ETC - S4 Profile 750W / 36° halo,LIGHT,,15.00
LIPR0105,ETC - S4 Profile 750W / 50° halo,LIGHT,,15.00
LIPR0109,ETC - S4 Profile 750W / 70° halo,LIGHT,,17.50
LIPR0096,ETC - S4 Profile 750W / 90° halo,LIGHT,,17.50
LIPR0136,"Robert Juliat - Profile 613SX halo, 1000W, 28°-54°",LIGHT,,15.00
LIPR0138,"Robert Juliat - Profile 614SX halo, 1000W, 16°-35°",LIGHT,,15.00
LIPR0141,"Robert Juliat - Profile 710SX halo, 2000W, 10°-25°",LIGHT,,25.00
LIPR0144,"Robert Juliat - Profile 713SX V2 halo, 2000W, 29°-50°",LIGHT,,25.00
LIPR0143,"Robert Juliat - Profile 714SX2 halo, 2000W, 15°-40°",LIGHT,,25.00
LIPR0165,"Robert Juliat - Profile 914S HMI, 1200W, 11°–34°",LIGHT,,150.00
LIPR0170,"Robert Juliat - Profile 930SNX + CAD-900 MSR, 2500W, 10°-25°",LIGHT,,200.00
LIPR0173,"Robert Juliat - Profile 933SNX MSR, 2500W, 29°-50°",LIGHT,,200.00
LIPR0175,"Robert Juliat - Profile 934SNX MSR, 2500W, 16°-38°",LIGHT,,200.00
LIFR0046,"Desisti - Piccoletto DMX M/O Daylight 30W 5600K LED, CW 4",LIGHT,,25.00
LIFR0054,"Desisti - SuperLED F4.7 P/O Daylight 60W 5600K LED, CW 4-8",LIGHT,,35.00
LIFR0066,"Desisti - SuperLED F6 P/O Daylight 150W 5600K LED, CW 1-3",LIGHT,,45.00
LIFR0074,"Desisti - SuperLED F10 P/O Daylight 190W 5600K LED, CW 1-3",LIGHT,,50.00
LIFR0080,"Desisti - SuperLED F14 P/O Daylight 400W 5600K LED, CW 1-2",LIGHT,,125.00
LIFR0053,"Desisti - SuperLED F4.7 P/O VW 60W 2800K-6600K LED, CW-WW 4-8",LIGHT,,50.00
LIFR0072,"Desisti - SuperLED F6 P/O VW 120W 2800K-6600K LED, CW-WW 1-3",LIGHT,,50.00
LIFR0082,"Desisti - SuperLED F7 P/O VW 160W 2700K-6500K LED, CW-WW 1-3",LIGHT,,60.00
LIFR0076,"Desisti - SuperLED F10HP P/O VW 330W, 2800- 6600K LED, CW-WW 1-3",LIGHT,,70.00
LIFR0166,"Desisti - Magis P/O Fresnel 650W, incl. Dutch TV-hook halo",LIGHT,,8.00
